DATAFLOW,LAST UPDATE,freq,unit,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,TR,2019,40.7,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,UK,2019,56.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,AT,2019,67.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,BE,2019,60.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,BG,2019,64.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,CH,2019,70.4,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,CY,2019,64.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,CZ,2019,68.3,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,DE,2019,70.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,DK,2019,69.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,EE,2019,71.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,EL,2019,50.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,ES,2019,57.2,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,FI,2019,64.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,FR,2019,57.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,HR,2019,58.2,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,HU,2019,65.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,IE,2019,65.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,IS,2019,79.5,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,IT,2019,59.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,LT,2019,61.5,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,LU,2019,60.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,LV,2019,63.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,ME,2019,53.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,MK,2019,56.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,MT,2019,70.3,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,NL,2019,72.2,b
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,NO,2019,67.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,PL,2019,58.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,PT,2019,71.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,RO,2019,62.2,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,RS,2019,55.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,SE,2019,72.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,SI,2019,62.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,SK,2019,65.4,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,TR,2019,50.3,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED3_4,UK,2019,71.7,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,AT,2019,78.7,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,BE,2019,76.4,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,BG,2019,79.5,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,CH,2019,83.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,CY,2019,79.4,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,CZ,2019,79.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,DE,2019,79.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,DK,2019,78.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,EE,2019,79.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,EL,2019,69.7,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,ES,2019,75.3,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,FI,2019,75.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,FR,2019,75.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,HR,2019,73.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,HU,2019,76.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,IE,2019,80.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,IS,2019,88.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,IT,2019,73.4,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,LT,2019,85.4,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,LU,2019,79.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,LV,2019,82.5,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,ME,2019,73.4,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,MK,2019,71.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,MT,2019,84.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,NL,2019,81.8,b
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,NO,2019,81.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,PL,2019,82.3,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,PT,2019,81.5,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,RO,2019,83.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,RS,2019,70.5,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,SE,2019,80.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,SI,2019,82.4,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,SK,2019,75.7,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,TR,2019,69.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED5-8,UK,2019,82.4,
